Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,106.697,16.0078,16.0076,34.8386,34.8463,8.96E-02,98.2963,4.86E-01,51.558,21.196
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,107.704,15.9815,15.9814,34.8482,34.8576,8.95E-02,98.2893,4.65E-01,51.241,21.057
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,108.71,15.9194,15.9189,34.8507,34.8585,8.72E-02,98.2884,4.48E-01,49.768,20.427
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,109.717,15.8233,15.8236,34.8369,34.8452,8.20E-02,98.2836,4.30E-01,48.555,19.89
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,110.724,15.7382,15.7382,34.8242,34.8328,8.16E-02,98.3065,4.09E-01,47.489,19.42
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,111.731,15.6638,15.6635,34.8138,34.8195,8.42E-02,98.2348,3.88E-01,46.817,19.116
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,112.738,15.6356,15.6361,34.8088,34.8173,8.55E-02,98.3064,3.69E-01,46.266,18.88
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,113.745,15.5987,15.5994,34.802,34.8107,8.28E-02,98.3288,3.51E-01,44.549,18.166
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,114.752,15.3684,15.3518,34.7562,34.7658,8.66E-02,98.3223,3.32E-01,40.293,16.353
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,115.759,15.0209,15.02,34.705,34.7129,8.93E-02,98.3368,3.15E-01,37.406,15.071
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,116.765,14.911,14.911,34.6824,34.6903,8.85E-02,98.3876,2.98E-01,36.279,14.583
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,117.772,14.8836,14.8832,34.6771,34.6849,8.78E-02,98.4435,2.82E-01,36.1,14.503
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,118.779,14.8823,14.8827,34.6762,34.6842,8.85E-02,98.4439,2.67E-01,36.252,14.564
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,119.786,14.8901,14.8901,34.6779,34.6858,8.95E-02,98.4673,2.53E-01,36.266,14.572
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,120.793,14.8836,14.8837,34.678,34.6863,8.67E-02,98.4541,2.39E-01,36.099,14.503
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,121.8,14.8767,14.8782,34.6819,34.6904,8.70E-02,98.1937,2.27E-01,36.3,14.582
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,122.807,14.906,14.9062,34.6951,34.703,8.62E-02,98.4229,2.16E-01,36.693,14.75
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,123.814,14.9221,14.9232,34.7021,34.7109,8.48E-02,98.3522,2.06E-01,36.238,14.572
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,124.821,14.9102,14.9087,34.7115,34.7195,8.23E-02,98.4291,1.96E-01,34.351,13.811
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,125.827,14.7131,14.7106,34.6915,34.699,8.10E-02,98.4422,1.86E-01,32.491,13.011
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,126.834,14.5758,14.5728,34.6775,34.6844,8.00E-02,98.4426,1.77E-01,30.943,12.356
