long,lat,depth,press,SA,CT,sigma0
-109.3474,22.6666,204.0002929,205.39,34.89828972,12.34276183,26.31897888
-109.3474,22.6666,204.9999799,206.397,34.9002575,12.33034895,26.32289539
-109.3474,22.6666,206.0006547,207.405,34.89931127,12.31755016,26.32464729
-109.3474,22.6666,207.000332,208.412,34.89555148,12.28873269,26.32733439
-109.3474,22.6666,208.0000044,209.419,34.89154048,12.27015824,26.32784234
-109.3474,22.6666,208.9996719,210.426,34.88612271,12.22444823,26.33249731
-109.3474,22.66662,210.000327,211.434,34.87889623,12.15550668,26.34020321
-109.3474,22.66662,210.9999848,212.441,34.87433256,12.12241311,26.34304355
-109.3474,22.66662,212.0006304,213.449,34.86956793,12.08268241,26.34698739
-109.3474,22.66662,213.0002785,214.456,34.87078209,12.04332352,26.35543959
-109.3474,22.6666,214.0009146,215.464,34.87877891,12.05016,26.36028144
-109.3474,22.6666,214.9995603,216.47,34.88245492,12.05019812,26.36309973
-109.3474,22.6666,216.0001864,217.478,34.8854778,12.04096227,26.36718644
-109.34738,22.6666,216.999815,218.485,34.88563687,12.02724411,26.36992603
-109.34738,22.6666,218.0004314,219.493,34.87941522,11.97356624,26.37536612
-109.34738,22.66661,219.0000502,220.5,34.88012696,11.95714067,26.37903591
-109.34738,22.66662,219.9996641,221.507,34.88983202,11.9881585,26.3805984
-109.34738,22.66662,221.0002659,222.515,34.88968965,11.98163765,26.38173
-109.34738,22.66662,222.0008628,223.523,34.89060237,11.97274762,26.38412301
-109.34738,22.66662,223.0004622,224.53,34.89191702,11.97024037,26.38561064
-109.34738,22.66662,224.0000568,225.537,34.89257852,11.96864581,26.38642248
-109.34738,22.66662,225.0006391,226.545,34.89233567,11.963126,26.3872853
-109.34738,22.66661,226.0002241,227.552,34.89415273,11.9659006,26.38815485
-109.34738,22.6666,226.9998042,228.559,34.89345769,11.95285142,26.39010084
-109.34738,22.6666,228.000372,229.567,34.89311436,11.94184186,26.39192822
-109.34738,22.66662,228.9999419,230.574,34.89231884,11.92095651,26.39528059
-109.34738,22.66662,230.0004999,231.582,34.8900663,11.9090393,26.39580836
-109.34738,22.66662,231.0000605,232.589,34.88354317,11.83120947,26.40551568
-109.34738,22.66662,231.9996161,233.596,34.87867803,11.78744515,26.41002592
-109.34738,22.66662,233.0001596,234.604,34.86984376,11.73562665,26.41297538
-109.34738,22.66662,233.9997055,235.611,34.86538055,11.7034373,26.41558152
-109.34738,22.66662,235.0002392,236.619,34.86383139,11.6902086,26.41686876
-109.34738,22.66662,235.9997754,237.626,34.8621315,11.67453701,26.41849549
-109.34738,22.66662,237.0002993,238.634,34.86108477,11.66703946,26.41909316
-109.34738,22.66662,237.9998258,239.641,34.86104287,11.66321548,26.41977638
-109.34736,22.66662,239.0003401,240.649,34.86170437,11.65892738,26.42108763
-109.34736,22.66662,239.9998568,241.656,34.8614615,11.65610617,26.42142836
-109.34737,22.66662,241.0003613,242.664,34.86157034,11.65167997,26.42233979
-109.34738,22.66662,241.9998684,243.671,34.86177965,11.65064659,26.42269409
-109.34738,22.66662,243.0003631,244.679,34.86053195,11.6359149,26.42448691
-109.34738,22.66662,243.9998605,245.686,34.85878181,11.61081026,26.42782647
-109.34738,22.66662,245.0003455,246.694,34.85572538,11.58318706,26.43062315
-109.34738,22.66662,245.9998331,247.701,34.85528154,11.56958765,26.43281382
-109.34738,22.66662,247.0003084,248.709,34.85453626,11.56742644,26.43264232
-109.34736,22.66662,247.9997863,249.716,34.85399193,11.56546088,26.43258908
-109.34736,22.66662,249.0002519,250.724,34.85329689,11.56210058,26.43267928
-109.34736,22.66662,250.0007126,251.732,34.85245112,11.5505566,26.43417537
-109.34736,22.66662,251.0001759,252.739,34.85155627,11.53192537,26.43694908
-109.34736,22.66662,252.0006269,253.747,34.85056138,11.50575863,26.44104035
-109.34736,22.66662,253.0000805,254.754,34.85408829,11.4717115,26.45006636
-109.34736,22.66662,254.0005217,255.762,34.86108195,11.48571356,26.45285819
-109.34736,22.66662,254.9999656,256.769,34.86692002,11.5049306,26.45379034
-109.34736,22.66662,256.0003971,257.777,34.86718119,11.49441296,26.45594226
-109.34736,22.66662,256.9998313,258.784,34.8620664,11.42216139,26.46537429
-109.34736,22.66662,258.0002531,259.792,34.85971495,11.38319695,26.47075204
-109.34736,22.66662,259.00067,260.8,34.85826788,11.37615982,26.47093404
-109.34736,22.66662,260.0000896,261.807,34.85656957,11.36678209,26.47135296
-109.34736,22.66662,261.0004968,262.815,34.85542395,11.35849107,26.47199671
-109.34736,22.66662,261.9999067,263.822,34.85447928,11.35139406,26.47257489
-109.34736,22.66662,263.0003041,264.83,34.85323317,11.34330494,26.47310273
-109.34736,22.66662,264.0006968,265.838,34.85163536,11.32998227,26.47432075
-109.34736,22.66662,265.0000921,266.845,34.85053996,11.32184048,26.47497254
-109.34736,22.66662,266.0004749,267.853,34.8472339,11.29422831,26.47749286
-109.34736,22.66662,266.9998605,268.86,34.84503317,11.27792391,26.47878573
-109.34736,22.66662,268.0002337,269.868,34.84187783,11.24456935,26.48245972
-109.34736,22.66662,269.000602,270.876,34.83781812,11.19735833,26.48795342
-109.34736,22.66662,269.999973,271.883,34.83541641,11.13828555,26.49685929
-109.34736,22.66662,271.0003316,272.891,34.83371811,11.1102433,26.50064414
-109.34736,22.66662,272.0006853,273.899,34.82945742,11.07511622,26.5037288
-109.34736,22.66662,273.0000418,274.906,34.82610109,11.04221725,26.50709494
-109.34736,22.66662,274.0003858,275.914,34.82390036,11.01668171,26.51001169
-109.34736,22.66662,275.0007249,276.922,34.82049379,10.98747753,26.51265291
-109.34734,22.66662,276.0000668,277.929,34.81985057,10.97952893,26.51358924
-109.34734,22.66662,277.0003962,278.937,34.81759959,10.9623298,26.51495025
-109.34734,22.66662,278.0007208,279.945,34.81585103,10.9296995,26.51946932
-109.34734,22.66662,279.0000481,280.952,34.81475562,10.92295825,26.51983517
-109.34734,22.66662,280.0003629,281.96,34.81019347,10.89168248,26.52192724
-109.34734,22.66662,281.0006729,282.968,34.81090681,10.88365761,26.52391593
-109.34734,22.66662,281.9999856,283.975,34.81634297,10.90193854,26.52483268
-109.34734,22.66662,283.0002859,284.983,34.82293472,10.92054503,26.52657864
-109.34734,22.66662,284.0005813,285.991,34.83605806,10.96477026,26.52874942
-109.34734,22.66662,284.9998795,286.998,34.84114253,10.98305623,26.52937683
-109.34734,22.66662,286.0001651,288.006,34.8407003,10.97720005,26.53009121
